id,name,yt_channel_id,yt_topic_id,spotify_id,twitter_id,,first_release
1,hololive,UCJFZiqLMntJufDCHc6bQixg,NULL,71oatjakqnwstn8er0zwg60ja,hololivetv,,2019-07-07
2,hololive IDOL PROJECT,NULL,UCuCfKSM0_23RRXxQGYTVJlw,18Zr9CaElvS40S0AtizMWZ,NULL,,2019-09-16
3,holostars,UCWsfcksUUpoEvhia0_ut0bA,NULL,6bk51KYcUESMvf5rJGRbnH,holostarstv,,2020-06-03
4,hololive Indonesia,UCfrWoRGlawPQDQxxeIDRP0Q,NULL,7iDL7tTq20cIwXsAewcz4d,hololive_Id,,2020-06-29
5,Spice Love,NULL,NULL,0UZzH1mZXZIxqKqbvm5exD,NULL,,2020-10-11
6,SoraMiko (Tokino Sora & Sakura Miko),NULL,NULL,1ZxywKWuaOBBDiwPTlUlYU,NULL,,2020-10-21
7,hololive English,UCotXwY6s8pWmuWd_snKYjhg,NULL,NULL,hololive_En,,2021-03-13
8,hololive English -Myth-,NULL,NULL,7msVentVTxKtCHHBmmDfIl,NULL,,2021-03-13
9,hololive 1st Generation,NULL,NULL,2g6hLpgqXy98NxfgFY1LvD,NULL,,2021-05-15
10,hololive music studio,NULL,NULL,52zS4fS68hvyi8GDcWcawj,NULL,,2021-08-02
11,SubaOka,NULL,NULL,7iXsEBSi62pZRzuePdFj0s,NULL,,2021-08-28
12,NEGI☆U,NULL,UCX6pImCxrZ_uKt_xQCY7Hnw,0oyRWkoZs1hXQwXFaNxbQO,NEGI_U_official,,2021-09-01
13,UMISEA,NULL,NULL,57uGbHiQfAA2Emy3NqxWgK,NULL,,2021-09-18
14,HOLOLIVE FANTASY,NULL,UNDER VARIOUS ARTISTS,4R8Qf3gbqd9bhiQoUToAAU,NULL,,2021-11-21
